dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,108120,107480,97800
covid_antibody_testing_pillar3,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,945445,945445,751385
covid_antigen_testing_pillar2,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,439841235,439818620,44959115
deaths,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,16584395,16460360,16457720
epma_administration,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,442518555,1893545
epma_administration_dmd,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,308309375,null,null
epma_administration_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,null,null
epma_prescription,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,86440210,2289280
epma_prescription_chemical,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
epma_prescription_dmd,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,64296795,null,null
epma_prescription_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
gdppr,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,12047307660,12047307660,65443640
hes_ae_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,315811530,315811530,68010705
hes_ae_otr_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,316093790,316093790,68951140
hes_apc_acp_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,1488340,1488340,1173335
hes_apc_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,465450020,465450020,74430065
hes_apc_mat_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,35278525,35278525,25490745
hes_apc_otr_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,465450020,465450020,74430065
hes_cc_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,9871925,9871925,3269115
hes_cc_otr_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,9872010,9872010,3271815
hes_op_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,1960959230,1960959230,79380670
hes_op_otr_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,1962061415,1962061415,80248595
iapt_care_activities_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,39144720,39144525,3139925
iapt_care_cluster_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,3822350,3822330,2115475
iapt_coded_scored_assessments_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,106979030,106978425,2858880
iapt_demographics_and_referral_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,5314480,5314395,3705005
iapt_employment_status_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,10341575,10341525,2632585
iapt_internet_enabled_therapies_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,1484865,1484865,158560
iapt_mental_and_physical_health_conditions_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,6893670,6893610,2853460
iapt_onward_referrals_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,119030,119025,108840
iapt_waiting_time_pauses_2223_dars_nic_391419_j3w9t,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,84175,84175,63985
icnarc,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,68750,68750,57610
lowlat_apc_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,97583110,97583095,26393940
lowlat_cc_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,5571475,5571475,1235835
lowlat_ecds_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,106077920,106077865,39849515
lowlat_op_all_years,d01943ca-59fa-4fa3-8bde-818076ef4aa6,2023-12-27,549733050,549732990,47908490
msds_baby_activities_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,9552910,9552910,1528225
msds_baby_demographics_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,774275,774275,744485
msds_baby_diagnoses_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,394805,394805,386620
msds_care_activities_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,116097715,116096915,1730800
msds_demographics_booking_and_pregnancy_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,4461935,4461865,2388310
msds_diagnoses_and_history_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,6057735,6057680,1265255
msds_findings_and_observations_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,15380875,15380805,1147670
msds_hospital_provider_spell_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,411210,411205,210010
msds_labour_activities_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,29841720,29840945,1467815
msds_maternity_care_plan_all_years,d7d23343-ed90-4f60-8091-7bb7d3730094,2023-10-24,10682855,10682785,1749055
nicor_acs_combined,ad95b245-cb25-423e-926b-6466a041ba54,2023-08-31,203190,202305,194560
