column_name,completeness,dataset
AdmissionCOVID19,0.959,chess
AdmissionFlu,0.454,chess
AdmissionRSV,0.429,chess
AdmittedToICU,1,chess
AgeMonth,0.999,chess
AgeYear,0.999,chess
AsthmaRequiring,0.952,chess
AsymptomaticTesting,0.439,chess
CaseId,1,chess
ChronicHeart,0.953,chess
ChronicLiver,0.778,chess
ChronicNeurological,0.951,chess
ChronicRenal,0.952,chess
ChronicRespiratory,0.953,chess
Covid19,1,chess
DateAdmittedICU,0.249,chess
DateLeavingICU,0.2,chess
DateUpdated,0.643,chess
DiabetesType,0.116,chess
EstimatedDateOnset,0.55,chess
Ethnicity,0.971,chess
FinalOutcome,0.976,chess
FinalOutcomeDate,0.894,chess
GestationWeek,0.154,chess
Highflownasaloxygen,1,chess
HospitalAdmissionAdmittedFrom,0.958,chess
HospitalAdmissionDate,1,chess
Hypertension,0.954,chess
ImmunosuppressionDisease,0.951,chess
ImmunosuppressionTreatment,0.951,chess
InfectionSwabDate,0.944,chess
InfluenzaAH1N1pdm2009,0,chess
InfluenzaAH3N2,0,chess
InfluenzaAnonsubtyped,0,chess
InfluenzaAunsubtypable,0,chess
InfluenzaB,0,chess
Invasivemechanicalventilation,1,chess
IsARDSComplication,0.078,chess
IsDiabetes,0.779,chess
LabTestDate,0.983,chess
Mechanicalinvasiveventilationduration,0,chess
NoninvasiveMechanicalventilation,1,chess
ObesityBMI,0.601,chess
ObesityClinical,0.951,chess
Oxygenviacannulaeormask,1,chess
PERSON_ID_DEID,0.994,chess
PatientStillOnICU,0.247,chess
Pregnancy,0.693,chess
Prematurity,0.555,chess
RSV,0,chess
RespiratorySupportECMO,1,chess
RespiratorySupportNone,1,chess
RespiratorySupportUnknown,0.891,chess
SBPDate,0.05,chess
SBPOrganismName,0.024,chess
SBPOther,0,chess
SeriousMentalIllness,0.586,chess
Sex,1,chess
TransferDestination,0.073,chess
TravelIn14Days,0.656,chess
TrustCode,1,chess
TrustName,1,chess
Typeofspecimen,1,chess
WeekNo,1,chess
WeekofAdmission,1,chess
WorksAsHealthcareWorker,0.951,chess
YearofAdmission,1,chess
AccessionDate,1,covid_antibody_testing_pillar3
AdministrationMethod,0,covid_antibody_testing_pillar3
Analyser,1,covid_antibody_testing_pillar3
AppointmentDate,1,covid_antibody_testing_pillar3
CareHomeRole,0.16,covid_antibody_testing_pillar3
Country,1,covid_antibody_testing_pillar3
County,0.999,covid_antibody_testing_pillar3
CovidSymptomatic,1,covid_antibody_testing_pillar3
DateOfOnset,0.564,covid_antibody_testing_pillar3
DateOfPositiveTest,0.541,covid_antibody_testing_pillar3
IndustrySector,0.523,covid_antibody_testing_pillar3
KeyWorkerID,0.959,covid_antibody_testing_pillar3
KeyWorkerType,0.959,covid_antibody_testing_pillar3
LocalAuthority,0.999,covid_antibody_testing_pillar3
NHSRegion,0.999,covid_antibody_testing_pillar3
NonDigitalUser,1,covid_antibody_testing_pillar3
Occupation,0.491,covid_antibody_testing_pillar3
OrganisationId,0.004,covid_antibody_testing_pillar3
ParliamentaryConstituency,0.999,covid_antibody_testing_pillar3
Person_ID_DEID,1,covid_antibody_testing_pillar3
ProcessingLabCode,1,covid_antibody_testing_pillar3
RecordCreatedDate,1,covid_antibody_testing_pillar3
ResultValueUnitOfMeasure,0.984,covid_antibody_testing_pillar3
STP,0.999,covid_antibody_testing_pillar3
SpecimenID,1,covid_antibody_testing_pillar3
SpecimenProcessedDate,1,covid_antibody_testing_pillar3
SubjectID,1,covid_antibody_testing_pillar3
TestCentreID,1,covid_antibody_testing_pillar3
TestEndDate,1,covid_antibody_testing_pillar3
TestKit,0.67,covid_antibody_testing_pillar3
TestLocation,1,covid_antibody_testing_pillar3
TestResult,1,covid_antibody_testing_pillar3
TestStartDate,1,covid_antibody_testing_pillar3
TestType,1,covid_antibody_testing_pillar3
WorkStatus,0.102,covid_antibody_testing_pillar3
AdministrationMethod,0.852,covid_antigen_testing_pillar2
AppointmentDate,1,covid_antigen_testing_pillar2
CareHomeRole,0.01,covid_antigen_testing_pillar2
Country,0.996,covid_antigen_testing_pillar2
CountryCode,1,covid_antigen_testing_pillar2
County,1,covid_antigen_testing_pillar2
CovidSymptomatic,0.968,covid_antigen_testing_pillar2
DateOfOnset,0.083,covid_antigen_testing_pillar2
IndustrySector,0.181,covid_antigen_testing_pillar2
KeyWorkerID,0.123,covid_antigen_testing_pillar2
KeyWorkerType,0.123,covid_antigen_testing_pillar2
LocalAuthority,1,covid_antigen_testing_pillar2
NHSRegion,1,covid_antigen_testing_pillar2
NonDigitalUser,0.983,covid_antigen_testing_pillar2
Occupation,0.299,covid_antigen_testing_pillar2
OccupationTitle,0.298,covid_antigen_testing_pillar2
