dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,108120,107480,97800
covid_antibody_testing_pillar3,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,945445,945445,751385
covid_antigen_testing_pillar2,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,439889765,439867150,44960955
deaths,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,16737260,16615675,16613005
epma_administration,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,442518555,1893545
epma_administration_dmd,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,473957820,null,null
epma_administration_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,null,null
epma_prescription,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,86440210,2289280
epma_prescription_chemical,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
epma_prescription_dmd,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,89832880,null,null
epma_prescription_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
gdppr,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,12844659340,12844651170,65936655
hes_ae_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,321995480,321995480,68676290
hes_ae_otr_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,322277740,322277740,69616530
hes_apc_acp_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1488340,1488340,1173335
hes_apc_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,471158910,471158910,74772820
hes_apc_mat_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,35550295,35550295,25683225
hes_apc_otr_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,471158910,471158910,74772820
hes_cc_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,10143700,10143700,3328400
hes_cc_otr_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,10143785,10143785,3331100
hes_op_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1995044485,1995044485,79794170
hes_op_otr_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1996146670,1996146670,80660910
iapt_care_activities_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,39144720,39144525,3139925
iapt_care_cluster_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,3822350,3822330,2115475
iapt_coded_scored_assessments_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,106979030,106978425,2858880
iapt_demographics_and_referral_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,5314480,5314395,3705005
iapt_employment_status_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,10341575,10341525,2632585
iapt_internet_enabled_therapies_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,1484865,1484865,158560
iapt_mental_and_physical_health_conditions_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,6893670,6893610,2853460
iapt_onward_referrals_all_years,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,119030,119025,108840
iapt_v2_1_care_activities_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,46329435,46329165,3854395
iapt_v2_1_care_cluster_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,4822175,4822140,2547580
iapt_v2_1_coded_scored_assessments_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,140437815,140436950,3526440
iapt_v2_1_demographics_and_referral_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,7763995,7763900,4466870
iapt_v2_1_employment_status_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,16142955,16142870,3245790
iapt_v2_1_internet_enabled_therapies_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,1903650,1903650,197465
iapt_v2_1_mental_and_physical_health_conditions_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,14589635,14589475,3529490
iapt_v2_1_onward_referrals_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,165210,165205,148900
iapt_v2_1_waiting_time_pauses_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,260725,260725,177010
iapt_waiting_time_pauses_2223_dars_nic_391419_j3w9t,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,84175,84175,63985
icnarc,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,69390,69390,58215
lowlat_apc_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,103411535,103411520,27271220
lowlat_cc_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,5865815,5865815,1296070
lowlat_ecds_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,112406855,112406800,41017965
lowlat_op_all_years,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,583248250,583248190,48713455
mhs001mpi,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,13020785,13019975,10810105
